# SOURCE: Derived from daily_weather_openfield-research.csv and pv_microclimate_factors-research.csv
# DATE: 2026-02-23
# DESCRIPTION: Daily weather under agri-PV panels (spatial average at crop level). Open-field weather adjusted by microclimate factors for density_variant=low (GCR=30%).
# UNITS: date=YYYY-MM-DD, temp_max_c=Celsius, temp_min_c=Celsius, solar_irradiance_kwh_m2=kWh/m2/day, wind_speed_ms=m/s, precip_mm=mm/day
# LOGIC: temp_new = temp_openfield + temp_adjustment_c (-0.80C); solar_new = solar_openfield * irradiance_multiplier (0.65); wind_new = wind_openfield * wind_speed_multiplier (0.95). Precipitation passed through unchanged (no panel interception in factors).
# DEPENDENCIES: daily_weather_openfield-*.csv, pv_microclimate_factors-*.csv
# ASSUMPTIONS: Microclimate factors represent spatial average across planted area. Panel height 3m, fixed-tilt 28deg. Values from peer-reviewed agri-PV studies.
# DENSITY_VARIANT: low (ground_coverage_pct=30)
date,temp_max_c,temp_min_c,solar_irradiance_kwh_m2,wind_speed_ms,precip_mm,weather_scenario_id
2015-05-04,26.51,18.12,5.4,7.17,0.0,001
2015-05-05,26.92,18.9,5.36,4.5,0.0,001
2015-05-06,27.81,19.43,4.97,3.26,0.0,001
2015-05-07,28.63,19.37,4.86,2.72,0.0,001
2015-05-08,28.9,21.1,5.23,4.12,0.0,001
2015-05-09,31.31,22.35,5.29,2.1,0.0,001
2015-05-10,29.29,21.63,5.21,4.91,0.0,001
2015-05-11,30.07,24.06,4.95,3.35,0.0,001
2015-05-12,28.41,21.22,5.06,5.33,0.0,001
2015-05-13,29.1,20.77,5.21,5.04,0.0,001
2015-05-14,26.21,19.98,5.06,6.2,0.0,001
2015-05-15,28.08,18.9,5.39,5.02,0.0,001
2015-05-16,31.21,19.94,5.49,3.89,0.0,001
2015-05-17,34.18,21.5,4.91,3.3,0.0,001
2015-05-18,34.29,24.04,3.08,2.23,0.0,001
2015-05-19,34.52,25.17,5.26,2.87,0.0,001
2015-05-20,34.37,24.28,5.5,4.68,0.0,001
2015-05-21,29.2,21.74,5.41,8.37,0.0,001
2015-05-22,28.46,20.17,5.41,7.11,0.0,001
2015-05-23,31.7,20.95,5.12,6.3,0.0,001
2015-05-24,35.61,23.31,5.25,4.27,0.0,001
2015-05-25,36.83,26.31,5.16,2.61,0.0,001
2015-05-26,35.97,26.98,5.17,2.84,0.0,001
2015-05-27,36.71,27.23,4.99,2.15,0.0,001
2015-05-28,38.35,27.83,4.99,3.66,0.0,001
2015-05-29,29.55,24.41,5.1,8.65,0.0,001
2015-05-30,28.57,21.75,5.47,7.09,0.0,001
2015-05-31,27.99,20.78,5.51,6.51,0.0,001
2015-06-01,28.01,20.58,5.56,7.12,0.0,001
2015-06-02,31.28,22.18,5.41,4.36,0.0,001
2015-06-03,32.03,22.65,5.25,5.55,0.0,001
2015-06-04,30.44,23.71,5.4,8.01,0.0,001
2015-06-05,28.81,21.04,5.5,6.73,0.0,001
2015-06-06,30.1,22.08,4.51,5.6,0.0,001
2015-06-07,32.98,24.12,5.04,5.63,0.0,001
